"Department","GroupName","GroupId"
"Plumbing","Department_Plumbing","3b09bf40-e5d8-48f1-b2b6-694d4d03d594"
"Mafraq","Department_Mafraq","72a8077e-7631-4367-a7b0-e4db6c1958e0"
"Information Systems","Department_Information Systems","dfe019af-8cfe-4287-924c-a368f098060d"
"AlAin","Department_AlAin","de6b123e-a1ff-426f-ae0c-b35030969e51"
"CAD","Department_CAD","71a2fdad-d184-40ad-b60c-e36dcdba0ce0"
"Admin","Department_Admin","c817c00f-3dde-4d7e-8d9b-d76e6c9e9059"
"Electrical","Department_Electrical","27adcaea-3ee2-4f05-9fba-15bddd04a0bc"
"ADMRC & DPSC","Department_ADMRC & DPSC","d47c8da0-fede-4df2-92cd-670e20ce9e69"
"HR","Department_HR","0c913157-4c7d-46ff-bbc9-7280f4587dd5"
"Administration","Department_Administration","f5221ac8-58e5-44c5-b2ad-901b33a7d14c"
"Mechanical","Department_Mechanical","09cf9cb6-b7a7-4f73-97b9-baef653ad047"
"ME Admin","Department_ME Admin","152734a9-d679-415c-bac8-e5a1113fee2c"
"Accounting","Department_Accounting","26898ae8-7cac-497c-b458-bd5f78bcfa52"
"Marketing","Department_Marketing","3507e0e5-7a57-46d0-ae24-804562489b42"
"Dubai","Department_Dubai","4ec956f3-d1f9-4699-982c-12543ff184e7"
"ADMRC","Department_ADMRC","a35efce6-d077-4aee-a471-2e8e8048312c"
